停止状态_OFF状态_大屏关闭,"速度有效:	0km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_DEFAULT状态_蓝牙关闭,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_invalid状态_蓝牙关闭,"速度有效:	2km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_ON状态_大屏关闭,"速度有效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,电源模式/速度不合规，无法控制背门
停止状态_ACC状态_大屏关闭,"速度无效:	5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_START状态_蓝牙关闭,"速度无效:	0km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_invalid_valid状态_蓝牙关闭,"速度有效:	2km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,电源模式/速度不合规，无法控制背门
停止状态_DEFAULT状态_大屏关闭,"速度有效:	5km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_OFF状态_蓝牙关闭,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_invalid状态_大屏关闭,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_ON状态_蓝牙关闭,"速度无效:	0km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,电源模式/速度不合规，无法控制背门
停止状态_ACC状态_蓝牙关闭,"速度有效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送蓝牙关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_START状态_大屏关闭,"速度有效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,电源模式/速度合规，尾门关闭至闭锁状态
停止状态_invalid_valid状态_大屏关闭,"速度无效:100km/h
处于正常工作电压范围
无错误工况（如热保护、通讯故障等）",发送大屏关闭信号,电源模式/速度不合规，无法控制背门
